s_name,scheme_code,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132555,2023-12-31T00:00:00.000Z,4871553,1.02
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100696,2023-12-31T00:00:00.000Z,568094,1.01
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,111243,2023-12-31T00:00:00.000Z,1129905,0.95
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,217389,2023-12-31T00:00:00.000Z,2140780,0.93
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100087,2023-12-31T00:00:00.000Z,1055016,0.88
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,123398,2023-12-31T00:00:00.000Z,1165449,0.87
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,117334,2023-12-31T00:00:00.000Z,11961771,0.82
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132504,2023-12-31T00:00:00.000Z,305745,0.79
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,302988,2023-12-31T00:00:00.000Z,6559758,0.76
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100040,2023-12-31T00:00:00.000Z,894945,0.73
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100096,2023-12-31T00:00:00.000Z,1931545,0.72
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100825,2023-12-31T00:00:00.000Z,194863,0.70
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,103806,2023-12-31T00:00:00.000Z,391418,0.65
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,215367,2023-12-31T00:00:00.000Z,1704515,0.65
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,208045,2023-12-31T00:00:00.000Z,4826248,0.63
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100680,2023-12-31T00:00:00.000Z,215979,0.62
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,211385,2023-12-31T00:00:00.000Z,642317,0.62
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100530,2023-12-31T00:00:00.000Z,37790,0.56
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,217400,2023-12-31T00:00:00.000Z,1569000,0.56
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,311720,2023-12-31T00:00:00.000Z,526467,0.53
