s_name,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,132187,2023-12-31T00:00:00.000Z,1330106,1.43
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100034,2023-12-31T00:00:00.000Z,274232,1.35
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,278580,2023-12-31T00:00:00.000Z,21397336,1.28
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100413,2023-12-31T00:00:00.000Z,13370942,1.22
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100470,2023-12-31T00:00:00.000Z,12551780,1.17
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,132541,2023-12-31T00:00:00.000Z,276335,1.16
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,222055,2023-12-31T00:00:00.000Z,565491,1.12
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,103100,2023-12-31T00:00:00.000Z,742409,1.12
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,132432,2023-12-31T00:00:00.000Z,1466432,1.10
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,132835,2023-12-31T00:00:00.000Z,284810,1.09
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100425,2023-12-31T00:00:00.000Z,3038765,1.06
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,252306,2023-12-31T00:00:00.000Z,12529562,1.04
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,132555,2023-12-31T00:00:00.000Z,4871553,1.02
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100696,2023-12-31T00:00:00.000Z,568094,1.01
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,111243,2023-12-31T00:00:00.000Z,1129905,0.95
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,217389,2023-12-31T00:00:00.000Z,2140780,0.93
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100087,2023-12-31T00:00:00.000Z,1055016,0.88
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,123398,2023-12-31T00:00:00.000Z,1165449,0.87
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,117334,2023-12-31T00:00:00.000Z,11961771,0.82
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,132504,2023-12-31T00:00:00.000Z,305745,0.79
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,302988,2023-12-31T00:00:00.000Z,6559758,0.76
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100040,2023-12-31T00:00:00.000Z,894945,0.73
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100096,2023-12-31T00:00:00.000Z,1931545,0.72
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100825,2023-12-31T00:00:00.000Z,194863,0.70
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,103806,2023-12-31T00:00:00.000Z,391418,0.65
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,215367,2023-12-31T00:00:00.000Z,1704515,0.65
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,208045,2023-12-31T00:00:00.000Z,4826248,0.63
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100680,2023-12-31T00:00:00.000Z,215979,0.62
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,211385,2023-12-31T00:00:00.000Z,642317,0.62
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100530,2023-12-31T00:00:00.000Z,37790,0.56
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,217400,2023-12-31T00:00:00.000Z,1569000,0.56
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,311720,2023-12-31T00:00:00.000Z,526467,0.53
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,279527,2023-12-31T00:00:00.000Z,2835447,0.46
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,214179,2023-12-31T00:00:00.000Z,817305,0.35
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,296214,2023-12-31T00:00:00.000Z,3528493,0.26
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,229365,2023-12-31T00:00:00.000Z,1465175,0.23
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,242461,2023-12-31T00:00:00.000Z,829035,0.09
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,100469,2023-11-30T00:00:00.000Z,2872636,0.30
